Date,Close/Last
02/08/2023,43.29
02/07/2023,43.61
02/06/2023,43.29
02/03/2023,43.83
02/02/2023,44.37
02/01/2023,44.17
01/31/2023,43.55
01/30/2023,43.04
01/27/2023,43.45
01/26/2023,43.69
01/25/2023,43.56
01/24/2023,43.31
01/23/2023,43.29
01/20/2023,43
01/19/2023,42.58
01/18/2023,42.89
01/17/2023,43.16
01/13/2023,43.25
01/12/2023,42.97
01/11/2023,42.38
01/10/2023,41.9
01/09/2023,41.55
01/06/2023,41.1
01/05/2023,39.9
01/04/2023,40.35
01/03/2023,39.27
12/30/2022,38.7
12/29/2022,39.26
12/28/2022,38.48
12/27/2022,38.95
12/23/2022,38.86
12/22/2022,38.82
12/21/2022,39.26
12/20/2022,38.62
12/19/2022,38.52
12/16/2022,38.76
12/15/2022,39.12
12/14/2022,40.49
12/13/2022,40.59
12/12/2022,39.87
12/09/2022,39.69
12/08/2022,39.84
12/07/2022,39.69
12/06/2022,39.6
12/05/2022,39.75
12/02/2022,40.29
12/01/2022,40.25
11/30/2022,40.05
11/29/2022,39.15
11/28/2022,38.93
11/25/2022,39.54
11/23/2022,39.41
11/22/2022,39.04
11/21/2022,38.56
11/18/2022,38.92
11/17/2022,38.73
11/16/2022,38.68
11/15/2022,38.56
11/14/2022,38.31
11/11/2022,38.64
11/10/2022,37.71
11/09/2022,35.5
11/08/2022,35.92
11/07/2022,35.59
11/04/2022,35.25
11/03/2022,33.45
11/02/2022,33.75
11/01/2022,34.57
10/31/2022,34.27
10/28/2022,34.8
10/27/2022,34.29
10/26/2022,34.62
10/25/2022,34.29
10/24/2022,33.43
10/21/2022,33.17
10/20/2022,32.51
10/19/2022,32.47
10/18/2022,32.82
10/17/2022,32.37
10/14/2022,31.3
10/13/2022,31.83
10/12/2022,30.89
10/11/2022,30.9
10/10/2022,31.23
10/07/2022,31.37
10/06/2022,32.12
10/05/2022,32.86
10/04/2022,33.32
10/03/2022,31.49
09/30/2022,30.76
09/29/2022,30.89
09/28/2022,31.31
09/27/2022,30.53
09/26/2022,30.76
09/23/2022,31.18
09/22/2022,32.43
09/21/2022,32.55
09/20/2022,33.04
09/19/2022,33.74
09/16/2022,33.79
09/15/2022,33.94
09/14/2022,34.31
09/13/2022,34.07
09/12/2022,35.42
09/09/2022,34.59
09/08/2022,33.63
09/07/2022,33.83
09/06/2022,33.06
09/02/2022,33.06
09/01/2022,33.33
08/31/2022,33.84
08/30/2022,34.13
08/29/2022,34.3
08/26/2022,34.18
08/25/2022,35.45
08/24/2022,35.03
08/23/2022,34.94
08/22/2022,34.84
08/19/2022,35.94
08/18/2022,36.65
08/17/2022,36.84
08/16/2022,37.28
08/15/2022,37.07
08/12/2022,37.41
08/11/2022,37.04
08/10/2022,37.1
08/09/2022,36.29
08/08/2022,36.58
08/05/2022,36.48
08/04/2022,36.8
08/03/2022,36.43
08/02/2022,35.78
08/01/2022,36.44
07/29/2022,36.49
07/28/2022,35.84
07/27/2022,35.52
07/26/2022,34.48
07/25/2022,35.31
07/22/2022,34.99
07/21/2022,35.2
07/20/2022,34.77
07/19/2022,35.18
07/18/2022,33.79
07/15/2022,33.59
07/14/2022,32.85
07/13/2022,33.38
07/12/2022,33.3
07/11/2022,33.38
07/08/2022,34.06
07/07/2022,34.06
07/06/2022,33.55
07/05/2022,33.53
07/01/2022,34.74
06/30/2022,34.79
06/29/2022,35.06
06/28/2022,35.36
06/27/2022,35.69
06/24/2022,36
06/23/2022,34.83
06/22/2022,34.97
06/21/2022,35.17
06/17/2022,35.4
06/16/2022,35.22
06/15/2022,36.25
06/14/2022,35.38
06/13/2022,35.71
06/10/2022,37.07
06/09/2022,38.31
06/08/2022,39.47
06/07/2022,40.05
06/06/2022,40.01
06/03/2022,39.69
06/02/2022,40.26
06/01/2022,39.19
05/31/2022,39.85
05/27/2022,40.06
05/26/2022,39.31
05/25/2022,38.58
05/24/2022,38.48
05/23/2022,38.68
05/20/2022,37.71
05/19/2022,37.65
05/18/2022,37.26
05/17/2022,38.59
05/16/2022,37.51
05/13/2022,37.55
05/12/2022,36.43
05/11/2022,36.5
05/10/2022,36.55
05/09/2022,36.16
05/06/2022,37.19
05/05/2022,37.74
05/04/2022,39.08
05/03/2022,38.25
05/02/2022,37.95
04/29/2022,37.96
04/28/2022,38.54
04/27/2022,37.81
04/26/2022,37.8
04/25/2022,39.15
04/22/2022,39.54
04/21/2022,40.17
04/20/2022,40.55
04/19/2022,39.97
04/18/2022,39.69
04/14/2022,39.74
04/13/2022,39.97
04/12/2022,39.51
04/11/2022,39.77
04/08/2022,40.04
04/07/2022,40.03
04/06/2022,40
04/05/2022,40.82
04/04/2022,41.7
04/01/2022,41.63
03/31/2022,41.15
03/30/2022,42.24
03/29/2022,42.68
03/28/2022,41.32
03/25/2022,41
03/24/2022,40.96
03/23/2022,40.6
03/22/2022,41.56
03/21/2022,40.96
03/18/2022,41.63
03/17/2022,41.49
03/16/2022,41.44
03/15/2022,39.55
03/14/2022,39.17
03/11/2022,38.35
03/10/2022,38.68
03/09/2022,39.87
03/08/2022,37.26
03/07/2022,36.2
03/04/2022,37.6
03/03/2022,39.67
03/02/2022,40.83
03/01/2022,40.02
02/28/2022,41.74
02/25/2022,43.19
02/24/2022,42.06
02/23/2022,42.85
02/22/2022,43.27
02/18/2022,44.34
02/17/2022,44.54
02/16/2022,45.41
02/15/2022,45.23
02/14/2022,44.01
02/11/2022,44.49
02/10/2022,45.73
02/09/2022,46.25
02/08/2022,45.47
02/07/2022,45.22
02/04/2022,45.19
02/03/2022,45.26
02/02/2022,46
02/01/2022,45.86
01/31/2022,45.33
01/28/2022,44.69
01/27/2022,44.5
01/26/2022,44.66
01/25/2022,44.46
01/24/2022,44.96
01/21/2022,45.55
01/20/2022,46.13
01/19/2022,46.34
01/18/2022,46.28
01/14/2022,47
01/13/2022,46.99
01/12/2022,47.38
01/11/2022,46.89
01/10/2022,46.45
01/07/2022,46.92
01/06/2022,46.81
01/05/2022,47.01
01/04/2022,47.24
01/03/2022,47.07
12/31/2021,46.66
12/30/2021,46.57
12/29/2021,46.65
12/28/2021,46.68
12/27/2021,46.73
12/23/2021,46.3
12/22/2021,45.95
12/21/2021,45.34
12/20/2021,44.68
12/17/2021,45.2
12/16/2021,46.02
12/15/2021,46.15
12/14/2021,45.48
12/13/2021,45.75
12/10/2021,46.2
12/09/2021,45.99
12/08/2021,46.68
12/07/2021,46.72
12/06/2021,45.4
12/03/2021,44.81
12/02/2021,45.27
12/01/2021,44.8
11/30/2021,44.77
11/29/2021,45.13
11/26/2021,44.98
11/24/2021,46.58
11/23/2021,46.99
11/22/2021,47.11
11/19/2021,47.64
11/18/2021,48.42
11/17/2021,48.29
11/16/2021,48.28
11/15/2021,48.28
11/12/2021,48.53
11/11/2021,48.4
11/10/2021,48.25
11/09/2021,48.95
11/08/2021,48.96
11/05/2021,49
11/04/2021,48.65
11/03/2021,48.74
11/02/2021,48.26
11/01/2021,48.22
10/29/2021,47.75
